,lat,lon
2022,12.71428705,101.0721767
2023,12.70657553,101.0744651
2024,12.70391344,101.0781064
2025,12.69126532,101.0706294
2026,13.25958333,101.1365195
2027,14.62236679,101.0302863
2028,16.80815298,104.700144
2029,16.88629797,104.681194
2030,17.53701797,103.973332
2031,17.02042602,104.331138
2032,17.67647096,103.762858
2033,17.57643102,103.853667
2034,17.66530802,103.787034
2035,17.691694,103.805765
2036,13.64912407,99.462433
2037,13.61736411,99.41449966
2038,13.58476714,99.71294797
2039,16.25918702,103.58483
2040,16.466818,103.275003
2041,16.46101596,103.275644
2042,16.42235099,103.294353
2043,16.42253498,103.293637
2044,16.37427198,103.378636
2045,15.72388398,102.591854
2046,16.68936498,102.701799
2047,15.38378,102.4634
2048,15.38374099,102.463589
2049,15.12433601,102.294508
2050,14.61986002,102.891019
2051,14.61982003,102.891053
2052,14.65867602,102.627755
2053,14.61217004,103.159743
2054,14.76106097,102.294013
2055,14.76107497,102.293937
2056,15.98101697,103.67573
2057,15.93958003,103.693249
